Name,Rating,Reviews,Location and Description,Salaries,Interviews,Jobs
KPIT Technologies,3.0,(3.5k),Software Product | Pune +43 other locations,22.4k Salaries,331 Interviews,58 Jobs
Aarti Industries,4.0,(3.5k),Agro Chemicals | Bharuch +57 other locations,14.1k Salaries,320 Interviews,4 Jobs
Ipca Laboratories,3.9,(3.5k),Pharma | Mumbai +158 other locations,11.4k Salaries,192 Interviews,39 Jobs
Reliance Projects & Property Management Services,4.0,(3.5k),IT Services & Consulting | Kolkata +608 other locations,7.1k Salaries,200 Interviews,-- Jobs
Indian Oil Corporation,4.4,(3.5k),Oil & Gas | New Delhi +303 other locations,7.7k Salaries,233 Interviews,-- Jobs
Alkem Laboratories,3.9,(3.4k),Pharma | Mumbai +193 other locations,9.7k Salaries,190 Interviews,20 Jobs
"NTT DATA, Inc.",3.9,(3.4k),IT Services & Consulting | Bangalore / Bengaluru +33 other locations,21.4k Salaries,147 Interviews,62 Jobs
MRF Tyres,3.6,(3.4k),Auto Components | Chennai +192 other locations,12.3k Salaries,359 Interviews,18 Jobs
Johnson Controls,3.5,(3.4k),Industrial Automation | Pune +56 other locations,17k Salaries,294 Interviews,18 Jobs
Reliance Digital,4.1,(3.4k),Retail | Mumbai +375 other locations,8k Salaries,156 Interviews,-- Jobs
IGT Solutions,3.3,(3.4k),BPO | New Delhi +48 other locations,13.3k Salaries,242 Interviews,95 Jobs
Honda Motorcycle & Scooter,4.1,(3.4k),Automobile | Gurgaon / Gurugram +292 other locations,11k Salaries,191 Interviews,-- Jobs
Vishal Mega Mart,3.7,(3.3k),Retail | New Delhi +370 other locations,6.1k Salaries,194 Interviews,1 Jobs
Ford Motor,4.2,(3.3k),Automobile | Chennai +130 other locations,14.8k Salaries,172 Interviews,1 Jobs
UBS,3.9,(3.3k),Financial Services | Pune +19 other locations,30.9k Salaries,367 Interviews,11 Jobs
Hindustan Coca Cola Beverages,4.0,(3.3k),Beverage | Bangalore / Bengaluru +254 other locations,7.4k Salaries,168 Interviews,30 Jobs
24/7 Customer,3.4,(3.3k),Software Product | Bangalore / Bengaluru +36 other locations,11.3k Salaries,180 Interviews,65 Jobs
ArcelorMittal Nippon Steel,4.1,(3.3k),Iron & Steel | Surat +85 other locations,11.2k Salaries,263 Interviews,34 Jobs
DTDC Express,3.7,(3.3k),Logistics | New Delhi +267 other locations,8.4k Salaries,188 Interviews,19 Jobs
PhonePe,4.0,(3.3k),FinTech | Bangalore / Bengaluru +375 other locations,12.4k Salaries,393 Interviews,7 Jobs
Reliance Nippon Life Insurance,3.4,(3.3k),Insurance | Mumbai +478 other locations,8.5k Salaries,162 Interviews,2 Jobs
Ceat Tyres,3.9,(3.3k),Auto Components | Nagpur +138 other locations,12.7k Salaries,202 Interviews,3 Jobs
HARMAN,3.8,(3.2k),Consumer Electronics & Appliances | Bangalore / Bengaluru +40 other locations,23.9k Salaries,288 Interviews,205 Jobs
ABB,4.1,(3.2k),Industrial Machinery | Bangalore / Bengaluru +106 other locations,17.2k Salaries,273 Interviews,516 Jobs
RSPL Group,4.0,(3.2k),FMCG | Kanpur +248 other locations,9.3k Salaries,239 Interviews,39 Jobs
UNO Minda,3.9,(3.2k),Auto Components | Pune +105 other locations,10.7k Salaries,225 Interviews,3 Jobs
Indian Air Force,4.6,(3.2k),Defence & Aerospace | New Delhi +134 other locations,5.1k Salaries,77 Interviews,-- Jobs
NatWest Group,4.0,(3.2k),Banking | Gurgaon / Gurugram +28 other locations,20.4k Salaries,233 Interviews,281 Jobs
Barclays,3.7,(3.2k),Banking | Pune +36 other locations,29.9k Salaries,300 Interviews,-- Jobs
Cloudnine Hospital,4.4,(3.2k),Healthcare | Bangalore / Bengaluru +45 other locations,2.8k Salaries,909 Interviews,6 Jobs
Marpu Foundation,4.9,(3.2k),Non-Profit | Hyderabad / Secunderabad +61 other locations,61 Salaries,247 Interviews,-- Jobs
AGS Health,4.0,(3.2k),Analytics & KPO | Chennai +59 other locations,13.9k Salaries,198 Interviews,36 Jobs
Conduent,3.4,(3.1k),BPO | Bangalore / Bengaluru +34 other locations,16.7k Salaries,224 Interviews,813 Jobs
InterGlobe Aviation,3.5,(3.1k),Aviation | New Delhi +101 other locations,13.3k Salaries,359 Interviews,86 Jobs
Alstom Transportation,3.7,(3.1k),Engineering & Construction | Bangalore / Bengaluru +80 other locations,14.3k Salaries,274 Interviews,208 Jobs
GeBBS Healthcare Solutions,3.7,(3.1k),Healthcare | Mumbai +26 other locations,11.4k Salaries,174 Interviews,73 Jobs
TVS Credit Services Ltd,4.2,(3.1k),NBFC | Chennai +420 other locations,7.1k Salaries,147 Interviews,40 Jobs
Tata Technologies,3.4,(3.1k),Engineering & Construction | Pune +53 other locations,22.1k Salaries,302 Interviews,101 Jobs
Tata AIG,4.0,(3.1k),Insurance | Mumbai +258 other locations,11.3k Salaries,186 Interviews,106 Jobs
Blinkit,3.7,(3.1k),Internet | Gurgaon / Gurugram +140 other locations,11.7k Salaries,296 Interviews,1 Jobs
Max Healthcare,3.9,(3.1k),Healthcare | New Delhi +78 other locations,10.1k Salaries,179 Interviews,151 Jobs
Croma,3.8,(3.1k),Retail | Mumbai +185 other locations,8.8k Salaries,172 Interviews,18 Jobs
Future Group,4.2,(3.1k),Retail | Mumbai +206 other locations,6.9k Salaries,81 Interviews,-- Jobs
UPL,4.1,(3.1k),Agro Chemicals | Ankleshwar +183 other locations,10.8k Salaries,211 Interviews,48 Jobs
Amazon Transportation Services,4.2,(3k),Hyderabad / Secunderabad +223 other locations,8.1k Salaries,248 Interviews,-- Jobs
PepsiCo,4.0,(3k),Food Processing | Hyderabad / Secunderabad +273 other locations,12.8k Salaries,229 Interviews,441 Jobs
Dilip Buildcon,3.9,(3k),Engineering & Construction | Bhopal +226 other locations,8.2k Salaries,175 Interviews,11 Jobs
Bajaj General Insurance Limited,3.8,(3k),Insurance | Pune +271 other locations,9k Salaries,119 Interviews,355 Jobs
Walmart,3.4,(3k),Retail | Bangalore / Bengaluru +91 other locations,21.3k Salaries,430 Interviews,221 Jobs
Mankind Pharma,3.8,(3k),Pharma | New Delhi +244 other locations,9.2k Salaries,240 Interviews,6 Jobs
Titan Company,4.2,(3k),Retail | Bangalore / Bengaluru +178 other locations,9.3k Salaries,189 Interviews,101 Jobs
S&P Global,4.0,(3k),Analytics & KPO | Hyderabad / Secunderabad +47 other locations,19.8k Salaries,323 Interviews,223 Jobs
Varroc Group,3.6,(3k),Auto Components | Pune +61 other locations,9.3k Salaries,212 Interviews,56 Jobs
MSN Laboratories,3.6,(3k),Pharma | Hyderabad / Secunderabad +101 other locations,9.3k Salaries,165 Interviews,41 Jobs
Afcons Infrastructure,4.2,(2.9k),Engineering & Construction | Mumbai +120 other locations,8.4k Salaries,256 Interviews,28 Jobs
Societe Generale Global Solution Centre,3.7,(2.9k),IT Services & Consulting | Bangalore / Bengaluru +24 other locations,22.4k Salaries,291 Interviews,11 Jobs
Altruist Technologies,4.3,(3k),BPO | Bangalore / Bengaluru +43 other locations,8k Salaries,285 Interviews,10 Jobs
CMS IT Services,3.1,(2.9k),IT Services & Consulting | Mumbai +152 other locations,9.5k Salaries,153 Interviews,50 Jobs
Jindal Stainless,4.2,(2.9k),Iron & Steel | Jajpur +75 other locations,11.2k Salaries,299 Interviews,13 Jobs
Torrent Pharmaceuticals,4.0,(2.9k),Pharma | Ahmedabad +125 other locations,10.1k Salaries,155 Interviews,37 Jobs
Quest Global,3.5,(2.9k),IT Services & Consulting | Bangalore / Bengaluru +46 other locations,20.8k Salaries,344 Interviews,133 Jobs
I Process Services,3.8,(2.9k),Recruitment | Mumbai +404 other locations,5.3k Salaries,128 Interviews,-- Jobs
Square Yards,3.7,(2.9k),Internet | Gurgaon / Gurugram +50 other locations,9.1k Salaries,222 Interviews,43 Jobs
HDFC Sales,3.9,(2.9k),Financial Services | Mumbai +340 other locations,8.5k Salaries,187 Interviews,10 Jobs
Zensar Technologies,3.7,(2.9k),IT Services & Consulting | Pune +29 other locations,25.4k Salaries,272 Interviews,346 Jobs
ACC,3.9,(2.9k),Building Material | Mumbai +263 other locations,9k Salaries,226 Interviews,20 Jobs
Shoppers Stop,4.0,(2.8k),Retail | Mumbai +83 other locations,6.9k Salaries,135 Interviews,10 Jobs
IDFC FIRST Bharat,4.2,(2.9k),Financial Services | Chennai +405 other locations,5k Salaries,138 Interviews,4 Jobs
DS Group,4.1,(2.8k),FMCG | Noida +276 other locations,7k Salaries,201 Interviews,53 Jobs
Fujitsu,3.8,(2.8k),IT Services & Consulting | Pune +40 other locations,17.1k Salaries,209 Interviews,142 Jobs
Suzlon Group,4.0,(2.8k),Power | Pune +139 other locations,7.8k Salaries,159 Interviews,15 Jobs
Nokia,4.0,(2.8k),Telecom | Bangalore / Bengaluru +165 other locations,15.9k Salaries,307 Interviews,131 Jobs
Eternal Limited,3.6,(2.8k),Internet | Gurgaon / Gurugram +216 other locations,14.1k Salaries,352 Interviews,8 Jobs
Apollo Tyres,4.0,(2.8k),Auto Components | Chennai +180 other locations,9.6k Salaries,146 Interviews,-- Jobs
UnitedHealth,4.0,(2.8k),Healthcare | Hyderabad / Secunderabad +17 other locations,14.7k Salaries,84 Interviews,-- Jobs
ESAF Small Finance Bank,3.6,(2.8k),Banking | Thrissur +436 other locations,7.4k Salaries,154 Interviews,34 Jobs
Tata Elxsi,3.6,(2.8k),IT Services & Consulting | Bangalore / Bengaluru +30 other locations,21.9k Salaries,333 Interviews,58 Jobs
Indus Towers,3.6,(2.8k),Telecom | Gurgaon / Gurugram +230 other locations,8.8k Salaries,220 Interviews,38 Jobs
VVDN Technologies,3.6,(2.8k),IT Services & Consulting | Gurgaon / Gurugram +49 other locations,13.2k Salaries,246 Interviews,11 Jobs
Fiserv,2.9,(2.8k),FinTech | Pune +32 other locations,17.6k Salaries,192 Interviews,5 Jobs
Yazaki,3.9,(2.7k),Auto Components | Pune +92 other locations,8.8k Salaries,169 Interviews,-- Jobs
IKS Health,3.5,(2.7k),Healthcare | Mumbai +31 other locations,10.9k Salaries,258 Interviews,13 Jobs
Ola Electric Mobility,3.3,(2.7k),Automobile | Bangalore / Bengaluru +407 other locations,8.9k Salaries,280 Interviews,-- Jobs
Whitehat jr,3.3,(2.7k),EdTech | Mumbai +49 other locations,9.6k Salaries,264 Interviews,-- Jobs
Landmark Group,3.8,(2.7k),Retail | Bangalore / Bengaluru +170 other locations,9.1k Salaries,171 Interviews,11 Jobs
Sagility,3.9,(2.7k),BPO | Bangalore / Bengaluru +27 other locations,10.5k Salaries,226 Interviews,26 Jobs
Shree Cement,3.7,(2.7k),Building Material | Beawar +249 other locations,9.5k Salaries,197 Interviews,1 Jobs
Britannia,4.0,(2.7k),FMCG | Pune +294 other locations,8k Salaries,212 Interviews,4 Jobs
SRF,4.1,(2.7k),Chemicals | Bharuch +66 other locations,8.7k Salaries,204 Interviews,16 Jobs
Blue Dart Express Ltd,3.9,(2.7k),Logistics | Mumbai +274 other locations,6.7k Salaries,122 Interviews,-- Jobs
Bharat Financial Inclusion,3.7,(2.7k),NBFC | Hyderabad / Secunderabad +479 other locations,4.9k Salaries,113 Interviews,1 Jobs
Capita,3.5,(2.6k),BPO | Pune +32 other locations,12.9k Salaries,162 Interviews,56 Jobs
Flex,3.9,(2.6k),Electronics Manufacturing | Chennai +46 other locations,15.9k Salaries,207 Interviews,84 Jobs
Shell,3.9,(2.6k),Oil & Gas | Bangalore / Bengaluru +90 other locations,13.7k Salaries,227 Interviews,5 Jobs
Kansai Nerolac Paints,3.8,(2.6k),Chemicals | Mumbai +248 other locations,7.5k Salaries,183 Interviews,65 Jobs
Exide Industries,3.4,(2.6k),Auto Components | Kolkata +198 other locations,8.3k Salaries,207 Interviews,76 Jobs
ElasticRun,3.6,(2.6k),Logistics | Pune +387 other locations,6.1k Salaries,267 Interviews,21 Jobs
Micro Labs,3.6,(2.6k),Pharma | Bangalore / Bengaluru +149 other locations,9.7k Salaries,148 Interviews,12 Jobs
Dalmia Bharat Cement,3.9,(2.6k),Building Material | Guwahati +248 other locations,8.4k Salaries,183 Interviews,2 Jobs
Nestlé,3.8,(2.6k),FMCG | Gurgaon / Gurugram +271 other locations,9.6k Salaries,274 Interviews,10 Jobs
TVS Supply Chain Solutions,3.8,(2.6k),Logistics | Chennai +150 other locations,8.4k Salaries,148 Interviews,17 Jobs
KPMG Global Services,3.4,(2.6k),Management Consulting | Bangalore / Bengaluru +37 other locations,23.5k Salaries,245 Interviews,8 Jobs
G4S,4.0,(2.6k),Law Enforcement & Security | Gurgaon / Gurugram +159 other locations,5k Salaries,123 Interviews,440 Jobs
KFintech,3.4,(2.6k),FinTech | Hyderabad / Secunderabad +113 other locations,11k Salaries,167 Interviews,7 Jobs
Sahrudaya Healthcare (Medicover Hospitals),4.5,(2.6k),Healthcare | Hyderabad / Secunderabad +45 other locations,3.4k Salaries,138 Interviews,26 Jobs
Voltas,4.0,(2.6k),Consumer Electronics & Appliances | Mumbai +200 other locations,8.5k Salaries,170 Interviews,26 Jobs
BlackBuck,3.7,(2.5k),Internet | Bangalore / Bengaluru +361 other locations,6.2k Salaries,205 Interviews,18 Jobs
ZS,3.1,(2.5k),Management Consulting | Pune +16 other locations,19.3k Salaries,503 Interviews,119 Jobs
Star Health & Allied Insurance,3.5,(2.5k),Insurance | Chennai +321 other locations,9.5k Salaries,149 Interviews,54 Jobs
GATI-KWE,3.9,(2.5k),Logistics | Hyderabad / Secunderabad +161 other locations,4.9k Salaries,99 Interviews,10 Jobs
Ajanta Pharma,3.9,(2.5k),Pharma | Mumbai +118 other locations,8.7k Salaries,153 Interviews,27 Jobs
Sonalika Tractors,3.6,(2.5k),Automobile | Hoshiarpur +186 other locations,8.9k Salaries,159 Interviews,-- Jobs
Blue Star,4.1,(2.5k),Consumer Electronics & Appliances | Mumbai +147 other locations,9.4k Salaries,191 Interviews,22 Jobs
ACT Fibernet,3.9,(2.5k),Telecom | Hyderabad / Secunderabad +54 other locations,7.5k Salaries,157 Interviews,108 Jobs
suzuki motor gujarat,4.2,(2.5k),Automobile | Ahmedabad +116 other locations,7.9k Salaries,218 Interviews,21 Jobs
Domino's Pizza,3.9,(2.5k),New Delhi +242 other locations,4.1k Salaries,114 Interviews,-- Jobs
Bajaj Electricals,3.9,(2.5k),Consumer Electronics & Appliances | Mumbai +233 other locations,7.6k Salaries,145 Interviews,12 Jobs
Care Health Insurance,3.6,(2.5k),Internet | Gurgaon / Gurugram +240 other locations,8.5k Salaries,150 Interviews,36 Jobs
Sterlite Technologies,3.8,(2.5k),Hardware & Networking | Aurangabad +101 other locations,9.9k Salaries,179 Interviews,139 Jobs
NoBroker,3.0,(2.5k),Internet | Bangalore / Bengaluru +49 other locations,10.4k Salaries,274 Interviews,323 Jobs
Fortis Healthcare,4.0,(2.5k),Healthcare | New Delhi +69 other locations,7.3k Salaries,176 Interviews,97 Jobs
Sammaan Capital Limited,3.8,(2.5k),NBFC | Gurgaon / Gurugram +201 other locations,6k Salaries,111 Interviews,8 Jobs
Zepto,3.5,(2.5k),Internet | Bangalore / Bengaluru +97 other locations,8.3k Salaries,412 Interviews,62 Jobs
Gallagher,3.7,(2.5k),Insurance | Bangalore / Bengaluru +29 other locations,13.5k Salaries,259 Interviews,171 Jobs
Movate,3.1,(2.5k),IT Services & Consulting | Chennai +37 other locations,14.6k Salaries,283 Interviews,123 Jobs
DBS Bank,3.7,(2.4k),Banking | Hyderabad / Secunderabad +170 other locations,12.7k Salaries,189 Interviews,288 Jobs
Alldigi Tech,3.9,(2.4k),BPO | Chennai +36 other locations,7.3k Salaries,223 Interviews,19 Jobs
Foundever,3.4,(2.4k),BPO | Hyderabad / Secunderabad +23 other locations,8.3k Salaries,172 Interviews,76 Jobs
Adani Power,3.7,(2.4k),Power | Mundra +122 other locations,9.1k Salaries,291 Interviews,-- Jobs
Exl India,3.5,(2.4k),Logistics | New Delhi +44 other locations,14.4k Salaries,120 Interviews,-- Jobs
Statestreet HCL Services,3.4,(2.4k),BPO | Chennai +18 other locations,14.1k Salaries,217 Interviews,-- Jobs
V-Mart,4.1,(2.4k),Retail | Gurgaon / Gurugram +280 other locations,4.2k Salaries,182 Interviews,17 Jobs
Himalaya Wellness,4.0,(2.4k),Pharma | Bangalore / Bengaluru +230 other locations,5.8k Salaries,142 Interviews,36 Jobs
Tractors and Farm Equipment,3.9,(2.4k),Industrial Machinery | Chennai +190 other locations,8.3k Salaries,128 Interviews,11 Jobs
Paras Hospital,4.1,(2.4k),Healthcare | Patna +61 other locations,3.1k Salaries,97 Interviews,48 Jobs
Patanjali Ayurved,3.9,(2.4k),FMCG | Haridwar +301 other locations,5.9k Salaries,133 Interviews,-- Jobs
BT Group,3.8,(2.4k),Telecom | Gurgaon / Gurugram +23 other locations,11.1k Salaries,222 Interviews,8 Jobs
Parle Agro,3.9,(2.4k),Beverage | Mumbai +253 other locations,6.7k Salaries,139 Interviews,5 Jobs
McDonald's,3.9,(2.4k),Hospitality | New Delhi +146 other locations,4.9k Salaries,147 Interviews,1 Jobs
Tata Advanced Systems,3.7,(2.4k),Defence & Aerospace | Bangalore / Bengaluru +55 other locations,12.2k Salaries,176 Interviews,-- Jobs
JCB,3.9,(2.4k),Industrial Machinery | Pune +111 other locations,9.4k Salaries,153 Interviews,-- Jobs
IntouchCX,2.7,(2.4k),BPO | Hyderabad / Secunderabad +21 other locations,9.6k Salaries,222 Interviews,230 Jobs
Niva Bupa Health Insurance Company,3.6,(2.4k),Insurance | New Delhi +256 other locations,8k Salaries,161 Interviews,10 Jobs
Tata Electronics,3.9,(2.4k),Semiconductors | Hosur +47 other locations,9.9k Salaries,232 Interviews,47 Jobs
ICICI Securities,3.9,(2.4k),Financial Services | Mumbai +147 other locations,9.5k Salaries,184 Interviews,22 Jobs
Axis Direct,3.6,(2.3k),Financial Services | Mumbai +267 other locations,4.7k Salaries,86 Interviews,16 Jobs
Planet Spark,3.9,(2.3k),EdTech | Gurgaon / Gurugram +61 other locations,3.3k Salaries,567 Interviews,64 Jobs
Biocon Limited,4.0,(2.3k),Biotechnology | Bangalore / Bengaluru +66 other locations,11.7k Salaries,176 Interviews,22 Jobs
Mahindra Holidays & Resorts,3.5,(2.3k),Hospitality | Mumbai +112 other locations,5.7k Salaries,121 Interviews,59 Jobs
Laurus Labs,4.3,(2.3k),Pharma | Visakhapatnam +32 other locations,7k Salaries,146 Interviews,9 Jobs
Mahindra Rural Housing Finance,4.0,(2.3k),NBFC | Mumbai +456 other locations,4.8k Salaries,101 Interviews,9 Jobs
Taj Hotels Resorts and Palaces,4.2,(2.3k),Hospitality | Mumbai +108 other locations,4.7k Salaries,149 Interviews,2 Jobs
Datamatics Global Services,3.3,(2.3k),IT Services & Consulting | Mumbai +36 other locations,11.6k Salaries,178 Interviews,99 Jobs
Intellect Design Arena,3.6,(2.3k),Software Product | Chennai +40 other locations,13.4k Salaries,180 Interviews,48 Jobs
Emcure Pharmaceuticals,3.7,(2.3k),Pharma | Pune +113 other locations,8.2k Salaries,120 Interviews,51 Jobs
Canara HSBC Life Insurance,3.6,(2.3k),Insurance | Gurgaon / Gurugram +306 other locations,6.6k Salaries,129 Interviews,15 Jobs
Capgemini Engineering,3.4,(2.3k),IT Services & Consulting | Bangalore / Bengaluru +27 other locations,14.9k Salaries,393 Interviews,2 Jobs
KocharTech,3.7,(2.3k),IT Services & Consulting | Kolkata +26 other locations,3.7k Salaries,79 Interviews,51 Jobs
Physicswallah,3.6,(2.3k),EdTech | Noida +115 other locations,7.4k Salaries,252 Interviews,76 Jobs
3i Infotech,3.4,(2.3k),IT Services & Consulting | Mumbai +126 other locations,10.6k Salaries,159 Interviews,27 Jobs
Cholamandalam MS General Insurance,3.7,(2.3k),Insurance | Chennai +381 other locations,5.8k Salaries,114 Interviews,-- Jobs
Photon Interactive,4.1,(2.3k),IT Services & Consulting | Chennai +17 other locations,7.1k Salaries,128 Interviews,1.3k Jobs
Hero FinCorp,3.9,(2.3k),NBFC | New Delhi +387 other locations,5.4k Salaries,109 Interviews,32 Jobs
Info Edge,4.0,(2.3k),Internet | Noida +69 other locations,10.9k Salaries,371 Interviews,367 Jobs
Aditya Birla Capital,3.8,(2.3k),Financial Services | Mumbai +282 other locations,9.3k Salaries,192 Interviews,1 Jobs
Syngene International,3.9,(2.3k),Clinical Research | Bangalore / Bengaluru +21 other locations,12.4k Salaries,184 Interviews,-- Jobs
Cybage,3.7,(2.3k),IT Services & Consulting | Pune +15 other locations,17.3k Salaries,212 Interviews,41 Jobs
Aditya Birla Group,4.1,(2.3k),Metals & Mining | Mumbai +257 other locations,9.8k Salaries,228 Interviews,1 Jobs
Cadila Pharmaceuticals,3.3,(2.3k),Pharma | Ahmedabad +133 other locations,7.7k Salaries,150 Interviews,112 Jobs
Delhi Public School,3.8,(2.3k),Education & Training | New Delhi +270 other locations,5.1k Salaries,149 Interviews,203 Jobs
Akums Drugs & Pharmaceuticals Limited,4.2,(2.3k),Pharma | Haridwar +36 other locations,6.1k Salaries,323 Interviews,13 Jobs
Lifestyle,4.3,(2.3k),Retail | Bangalore / Bengaluru +129 other locations,6.8k Salaries,79 Interviews,16 Jobs
Foxconn,3.8,(2.3k),Electronics Manufacturing | Chennai +55 other locations,9.7k Salaries,208 Interviews,13 Jobs
Adani Group,3.8,(2.3k),Power | Ahmedabad +182 other locations,10.4k Salaries,268 Interviews,130 Jobs
Bureau Veritas,3.8,(2.3k),Analytics & KPO | Mumbai +138 other locations,8k Salaries,138 Interviews,7 Jobs
Eureka Forbes,3.6,(2.2k),Consumer Electronics & Appliances | Mumbai +182 other locations,5.3k Salaries,86 Interviews,8 Jobs
Sopra Steria,3.9,(2.2k),IT Services & Consulting | Noida +20 other locations,13.7k Salaries,179 Interviews,161 Jobs
Xoriant,4.1,(2.2k),IT Services & Consulting | Pune +23 other locations,11.4k Salaries,226 Interviews,47 Jobs
Straive,3.3,(2.2k),IT Services & Consulting | Chennai +30 other locations,9.8k Salaries,218 Interviews,79 Jobs
Aavas Financiers,3.9,(2.2k),Financial Services | Jaipur +288 other locations,5.4k Salaries,112 Interviews,54 Jobs
Kia India,3.9,(2.2k),Automobile | Anantapur +181 other locations,8k Salaries,170 Interviews,95 Jobs
Unacademy,2.9,(2.2k),EdTech | Bangalore / Bengaluru +71 other locations,10.1k Salaries,230 Interviews,37 Jobs
Sobha,3.7,(2.2k),Real Estate | Bangalore / Bengaluru +38 other locations,8.2k Salaries,160 Interviews,57 Jobs
Radisson Hotels,4.0,(2.2k),Hospitality | New Delhi +122 other locations,5.1k Salaries,95 Interviews,253 Jobs
RMSI,3.6,(2.2k),IT Services & Consulting | Hyderabad / Secunderabad +23 other locations,8.3k Salaries,183 Interviews,18 Jobs
GVK Emergency Management and Research Institute,3.6,(2.2k),Non-Profit | Lucknow +208 other locations,4.4k Salaries,104 Interviews,26 Jobs
Myntra,3.9,(2.2k),Internet | Bangalore / Bengaluru +103 other locations,10.2k Salaries,237 Interviews,75 Jobs
Lava International,3.9,(2.2k),Consumer Electronics & Appliances | Noida +222 other locations,4.2k Salaries,80 Interviews,4 Jobs
Team Computers,3.7,(2.1k),IT Services & Consulting | New Delhi +100 other locations,8.3k Salaries,195 Interviews,142 Jobs
Endurance Technologies,3.9,(2.1k),Auto Components | Aurangabad +47 other locations,7.7k Salaries,129 Interviews,14 Jobs
TaskUs,3.1,(2.1k),BPO | Indore +34 other locations,8.7k Salaries,211 Interviews,87 Jobs
TCE,3.8,(2.1k),Engineering & Construction | Mumbai +131 other locations,9k Salaries,285 Interviews,49 Jobs
SBI Securities,3.7,(2.1k),Financial Services | Mumbai +311 other locations,6.7k Salaries,174 Interviews,42 Jobs
Renault Nissan Technology & Business Centre India,3.8,(2.1k),Automobile | Chennai +18 other locations,14.4k Salaries,149 Interviews,47 Jobs
Panasonic Life Solutions India,3.9,(2.1k),Consumer Electronics & Appliances | Haridwar +166 other locations,6.4k Salaries,91 Interviews,17 Jobs
Nokia Networks,4.1,(2.1k),Hardware & Networking | Chennai +87 other locations,10.5k Salaries,124 Interviews,-- Jobs
GlaxoSmithKline Pharmaceuticals,4.0,(2.1k),Pharma | Bangalore / Bengaluru +212 other locations,5.5k Salaries,123 Interviews,38 Jobs
Apollo Pharmacy,3.7,(2.1k),Pharma | Hyderabad / Secunderabad +271 other locations,6.5k Salaries,168 Interviews,1.1k Jobs
Whirlpool,3.9,(2.1k),Consumer Electronics & Appliances | Pune +170 other locations,7.9k Salaries,114 Interviews,16 Jobs
Huawei Technologies,4.0,(2.1k),Telecom | Bangalore / Bengaluru +105 other locations,8.2k Salaries,117 Interviews,-- Jobs
Star Union Dai-ichi Life Insurance,3.9,(2.1k),Insurance | Mumbai +309 other locations,5.3k Salaries,127 Interviews,30 Jobs
Cisco,4.1,(2.1k),Hardware & Networking | Bangalore / Bengaluru +45 other locations,18.5k Salaries,401 Interviews,98 Jobs
Bharti AXA Life Insurance,3.6,(2.1k),Insurance | Mumbai +240 other locations,5k Salaries,140 Interviews,238 Jobs
Adani Wilmar,4.1,(2.1k),FMCG | Ahmedabad +197 other locations,6.6k Salaries,127 Interviews,103 Jobs
Indian Railways,4.2,(2.1k),Railways | Kolkata +242 other locations,3.4k Salaries,111 Interviews,-- Jobs
Lodha Group,4.1,(2.1k),Real Estate | Mumbai +28 other locations,8.4k Salaries,158 Interviews,133 Jobs
SBI General Insurance,3.6,(2.1k),Insurance | Mumbai +281 other locations,6.3k Salaries,123 Interviews,25 Jobs
CorroHealth infotech,3.6,(2.1k),Analytics & KPO | Hyderabad / Secunderabad +32 other locations,7k Salaries,223 Interviews,127 Jobs
Shahi Exports,3.9,(2.1k),Fashion & Textile | Bangalore / Bengaluru +69 other locations,6.6k Salaries,123 Interviews,42 Jobs
Coromandel International,4.1,(2.1k),Agro Chemicals | Visakhapatnam +177 other locations,7.4k Salaries,120 Interviews,22 Jobs
Sify Technologies,3.7,(2.1k),IT Services & Consulting | Chennai +130 other locations,9.6k Salaries,144 Interviews,23 Jobs
Bank of Baroda,3.5,(2.1k),Banking | Mumbai +294 other locations,6.7k Salaries,109 Interviews,-- Jobs
Simplex Infrastructures,3.4,(2.1k),Engineering & Construction | Kolkata +138 other locations,4.6k Salaries,78 Interviews,-- Jobs
Daikin Airconditioning India Pvt. Ltd.,4.1,(2.1k),Consumer Electronics & Appliances | Neemrana +106 other locations,7.4k Salaries,197 Interviews,16 Jobs
ValueLabs,3.6,(2.1k),IT Services & Consulting | Hyderabad / Secunderabad +19 other locations,15.6k Salaries,204 Interviews,81 Jobs
Ola Cabs,3.3,(2.1k),Internet | Bangalore / Bengaluru +108 other locations,9.3k Salaries,153 Interviews,17 Jobs
Meesho,3.7,(2.1k),Internet | Bangalore / Bengaluru +130 other locations,8.9k Salaries,409 Interviews,153 Jobs
Allstate,3.7,(2.1k),Insurance | Pune +16 other locations,11.9k Salaries,152 Interviews,35 Jobs
Ambuja Cements,3.8,(2.1k),Building Material | Mumbai +250 other locations,6k Salaries,151 Interviews,-- Jobs
Life Insurance Corporation of India,4.4,(2.1k),Insurance | New Delhi +467 other locations,4.5k Salaries,93 Interviews,2 Jobs
Microsoft Corporation,3.7,(2.1k),Software Product | Bangalore / Bengaluru +46 other locations,27.6k Salaries,600 Interviews,-- Jobs
BHEL,4.2,(2.1k),Electrical Equipment | Bangalore / Bengaluru +127 other locations,5.1k Salaries,129 Interviews,-- Jobs
BNP Paribas,3.7,(2.1k),Financial Services | Mumbai +27 other locations,17.2k Salaries,204 Interviews,400 Jobs
Cargill,4.0,(2k),Food Processing | Bangalore / Bengaluru +119 other locations,8.1k Salaries,108 Interviews,440 Jobs
Force Motors,3.6,(2k),Automobile | Pune +106 other locations,8k Salaries,142 Interviews,1 Jobs
