Name,Rating,Reviews,Location and Description,Salaries,Interviews,Jobs
Conneqt Business Solutions,3.5,(10k),BPO | Hyderabad / Secunderabad +260 other locations,26.4k Salaries,544 Interviews,400 Jobs
Mphasis,3.3,(9.8k),IT Services & Consulting | Bangalore / Bengaluru +61 other locations,72.4k Salaries,895 Interviews,38 Jobs
Yes Bank,3.7,(9.6k),Banking | Mumbai +534 other locations,42.9k Salaries,522 Interviews,193 Jobs
Tata Steel,4.0,(9.5k),Iron & Steel | Jamshedpur +225 other locations,33.2k Salaries,1k Interviews,-- Jobs
Quess,3.8,(9.2k),Recruitment | Bangalore / Bengaluru +722 other locations,30.1k Salaries,509 Interviews,5 Jobs
Startek,3.1,(9.1k),BPO | Bangalore / Bengaluru +104 other locations,24.1k Salaries,594 Interviews,125 Jobs
Asian Paints,3.9,(9k),Chemicals | Mumbai +543 other locations,25k Salaries,795 Interviews,46 Jobs
Paytm,3.2,(8.9k),FinTech | Noida +408 other locations,33.4k Salaries,859 Interviews,571 Jobs
UltraTech Cement,4.1,(8.9k),Building Material | Mumbai +529 other locations,23.5k Salaries,746 Interviews,25 Jobs
Shriram Finance,4.0,(8.7k),NBFC | Chennai +1090 other locations,15.1k Salaries,419 Interviews,4 Jobs
Maruti Suzuki,4.2,(8.7k),Automobile | Gurgaon / Gurugram +441 other locations,26.7k Salaries,740 Interviews,644 Jobs
Bajaj Finance,3.9,(8.6k),NBFC | Pune +950 other locations,22.8k Salaries,401 Interviews,6.7k Jobs
Sutherland Global Services,3.4,(8.5k),BPO | Chennai +80 other locations,33.7k Salaries,759 Interviews,303 Jobs
EXL Service,3.6,(8.3k),IT Services & Consulting | Noida +61 other locations,43.3k Salaries,863 Interviews,1.3k Jobs
Cipla,4.1,(8.2k),Pharma | Mumbai +288 other locations,25.8k Salaries,566 Interviews,83 Jobs
Samsung,3.9,(8.2k),Consumer Electronics & Appliances | Noida +570 other locations,26.5k Salaries,598 Interviews,52 Jobs
Ericsson,4.0,(8.2k),Telecom | Noida +162 other locations,42.4k Salaries,458 Interviews,24 Jobs
